Customer ID,Full Name,Phone Number,Email ID,Age,Gender,City,Occupation,Employment Type,Annual Income,Existing Products Count,Has Credit Card,Has Personal Loan,Has Car Loan,Has Home Loan,Credit Score,Existing Outstanding Debt,Monthly EMI Outstanding,Requested Loan Type,Requested Amount,Missed Payments (12M),Credit Utilization (%),Years with Bank,Marital Status,Number of Dependents,Residence Type,Employment Tenure (Years),Co-Applicant Income,Existing Loans (Other Banks),Previous Default History,Requested Tenure (Months),Collateral Value,Application Date,KYC Status
CUST00011,Rekha Verma,9199104722,rekha.verma650@hotmail.com,38,F,Mumbai,Salaried - Healthcare,Salaried,,1,0,Y,no,No,737,285623.98,15032.84,CREDIT CARD,N/A,2,19.2,0.7,MARRIED,2,Owned,1.0,,3,1,12,,2026/02/25,Verified
CUST00012,Rahul Pandey,, rahul.pandey363@rediffmail.com ,47,F,AHMEDABAD,Self Employed - Business,Self-Employed,N/A,1,No,true,NO,no,721,501851.51,8505.96,Personal Loan,"₹329,766",0,71.6,5.9,Married,1,Owned,23.9,765402.0,2,NO,24,,2026-03-18,Verified
CUST00013,Usha Gupta,+91-9930353157, usha.gupta286@outlook.com ,62,female,Coimbatore,Salaried - Healthcare,Salaried,415765,2,true,false,true,NO,571,9543.6,190.87,Home Loan,"₹4,399,833",2,34.8,9.2,Married,1,Rented,7.9,,0,yes,360,5815322.0,04-08-2026,Verified
CUST00014,saanvi gupta,98132 19781,saanvi.gupta943@outlook.com,60,female,Hyderabad,Salaried - IT/Tech,Salaried,"₹2,427,025",1,1,0,NO,0,430,,5173.34,Home Loan,"₹7,181,754",2,21.5,8.6,Married,3,owned,6.5,,1,No,300,9052888.0,12/13/2025,verified
CUST00015,Kiran Sethi,99547 25078,KIRAN.SETHI754@YAHOO.COM,63,M,Surat,Freelancer,Self-Employed,,2,Y,NO,Y,false,503,"₹150,821",10772.93,Personal Loan,"₹548,216",1,78.0,6.9,Single,2,RENTED,11.7,,0,0,12,,2026/03/31,Verified
CUST00016,Preeti Tiwari,9656152900,preeti.tiwari476@gmail.com,56,Male,Hyderabad,Business Owner,Self-Employed,"₹859,264",0,no,0,false,No,753,52643.01,907.64,Home Loan,,0,20.1,13.0,  Married  ,2,Rented,8.5,,0,0,300,7128348.0,2026/01/19,Verified
CUST00017,Diya Mehta,9679984033,diya.mehta83@yahoo.com,30,male,Nagpur,Self Employed - Business,Self-Employed,1197383,1,true,false,false,No,511,"₹598,374",16621.5,CREDIT CARD,,4,59.7,7.3,Single,1,Owned,8.1,,0,No,18,,02-05-2026,Verified
CUST00018,saanvi joshi,91311 65166,saanvi.joshi399@outlook.com,63,  Female  ,KOLKATA,Business Owner,Self-Employed,,0,NO,No,NO,No,,"₹7,012",179.8,Personal Loan,"958,959",1,9.8,5.8,Married,1,Rented,11.6,,2,N,12,,23-04-2026,Verified
CUST00019,Shreya Verma,9475767056,shreya.verma230@gmail.com,62,male,Mumbai,Self Employed - Professional,Self-Employed,1136179,1,false,no,Yes,NO,417,-384462.24,15378.49,Home Loan,7367537,0,40.0,9.2,Divorced,2,Rented,5.2,584014.0,2,0,300,9203259.0,05-12-2025,Verified
CUST00020,Deepak Saxena,9773496394,DEEPAK.SAXENA249@GMAIL.COM,65,Female,Hyderabad,SALARIED - PRIVATE,Salaried,"₹1,756,278",2,Y,no,yes,0,312,,20819.87,Credit Card,"₹247,291",6,65.4,12.5,Single,1,Rented,29.0,756149.0,0,N,36,,,Verified
CUST00021,Rekha Rao,9991990632,rekha.rao958 at gmail.com,38,F,Ahmedabad,Business Owner,Self-Employed,1889596,1,yes,no,N,no,663,"₹904,548",27410.56,Car Loan,,1,54.1,3.0,Married,1,Rented,4.3,,1,false,24,939712.0,,Verified
CUST00022,Rahul Iyer,09812921644,rahul.iyer596@outlook.com,,F,Indore,Freelancer,Self-Employed,"1,687,439",1,Y,0,No,NO,497,319480.74,5414.93,personal loan,250845,0,51.0,10.9,Divorced,2,Owned,3.3,320612.0,0,NO,60,,10/29/2025,Verified
CUST00023,Vihaan Bhatt,09413679331,vihaan.bhatt715@yahoo.com,61,F,Hyderabad,Salaried - Private,Salaried,"₹1,492,605",3,yes,no,Y,Yes,,"102,172",6385.76,Home Loan,"₹5,625,069",0,64.8,1.0,married,2,Owned,29.8,723333.0,1,NO,180,7559662.0,08-03-2026,Verified
CUST00024,Tanya Iyer,97319 24051,tanya.iyer440@outlook.com,57,Male,Hyderabad,Self Employed - Professional,Self-Employed,"₹1,185,103",3,yes,YES,Y,NO,460,1902.6,47.56,Home Loan,3943260,0,32.4,4.4,Single,0,Owned,8.2,,1,0,180,4953857.0,05/31/2026,Verified
CUST00025,Ishaan Khanna,,ishaan.khanna847@yahoo.com,25,F,Kolkata,Salaried - IT/Tech,Salaried,1510520,1,true,NO,no,N,578,N/A,10548.46,Home Loan,"2,174,795",1,89.5,11.1,Single,0,Owned,2.8,,1,false,240,2814319.0,2025-11-23,Verified
CUST00026,Suresh Kapoor,9398668350,suresh.kapoor186@rediffmail.com,48,female,Bangalore,Business Owner,Self-Employed,"₹1,759,454",3,yes,no,Yes,1,721,,24409.74,Home Loan,,1,48.2,4.9,Married,4,Owned,14.0,,1,0,300,9168240.0,05/18/2026,Verified
CUST00027,Anil Joshi,9771527524,anil.joshi453 at gmail.com,34,F,Coimbatore,Self Employed - Business,Self-Employed,-1508081,2,Yes,N,YES,No,545,-642246.0,20717.61,Credit Card,"₹309,538",0,26.3,12.7,Married,3,Rented,2.3,,0,No,36,,30-04-2026,Pending
CUST00028,Rahul Kapoor,+91-9691916368,,33,MALE,Banglore,Salaried - IT/Tech,Salaried,"2,040,394",2,true,N,false,true,605,1025268.51,20923.85,Home Loan,N/A,0,51.0,5.1,Single,1,Company Provided,10.5,,0,N,300,3188454.0,25 Apr 2026,Verified
CUST00029,Preeti Chopra,95145 48900,PREETI.CHOPRA680@YAHOO.COM,52,Male,CHENNAI,Freelancer,Self-Employed,,0,NO,no,NO,NO,767,2597.56,123.69,Home Loan,"₹6,992,703",6,12.1,11.8,Married,2,Owned,2.7,655768.0,0,true,300,9566687.0,13 Sep 2025,VERIFIED
CUST00030,Rahul Mishra,, rahul.mishra944@outlook.com ,35,M,Indore,Salaried - Government,Salaried,721557,2,Yes,N,NO,true,357,,3628.83,Home Loan,"₹2,721,127",0,44.1,10.3,Married,0,Rented,5.5,,0,no,180,3443008.0,01/03/2026,Verified
CUST00031,  Mahesh Sharma  ,9963968184,,64,MALE,bengaluru ,  Business Owner  ,Self-Employed,"1,749,407",1,false,Y,No,no,767,887268.36,36969.51,Home Loan,,0,41.2,5.5,MARRIED,2,Owned,25.0,,0,false,120,7650724.0,2026-05-07,Verified
CUST00032,lata iyer,99329 45529,lata.iyer819@yahoo.com,59,female,Ahmedabad,Self Employed - Professional,Self-Employed,1351204,0,No,no,NO,NO,399,"122,068",2303.17,credit card,"₹181,969",3,8.2,5.6,Married,3,Owned,12.6,739885.0,2,NO,24,,,Verified
CUST00033,Geeta Joshi,+91-9965960427,geeta.joshi303@outlook.com,28,female,bengaluru ,Self Employed - Business,Self-Employed,"₹1,246,296",0,NO,NO,0,N,870,45586.4,1232.06,Credit Card,"₹158,652",1,48.2,10.2,Single,2,Rented,6.6,325366.0,0,true,24,,2026-07-04,Verified
CUST00034,Arjun Mishra,,arjun.mishra476@outlook.com,62,Female,Hyderabad,Self Employed - Business,Self-Employed,"₹490,198",1,false,No,0,Yes,850,"₹39,901",973.2,Car Loan,1432865,0,75.5,2.5,MARRIED,0,Rented,12.4,,0,No,60,1631946.0,2025/12/24,Verified
CUST00035,Reyansh Pandey,,,24,F,Jaipur,Self Employed - Professional,Self-Employed,812374,1,no,No,Yes,No,321,-24653.2,747.07,Personal Loan,182040,3,24.5,12.5,Married,2,Rented,0.9,,1,N,36,,2025-11-08,Pending
CUST00036,Shreya Nair,9957397689,shreya.nair179@gmail.com,63,F,CHENNAI,Salaried - Private,Salaried,"₹1,802,577",2,No,1,0,Yes,353,,3607.77,Credit Card,,0,47.6,5.6,Married,1,Owned,18.6,,2,no,24,,2026-04-17,verified
CUST00037,Vivaan Verma,96143 02907,VIVAAN.VERMA868@HOTMAIL.COM,48,  Male  ,Chandigarh,Business Owner,Self-Employed,608242,2,N,false,1,true,899,"₹200,120",6253.75,Home Loan,,1,48.1,9.2,Married,2,Rented,17.7,,1,0,300,8933633.0,,Verified
CUST00038,neha chopra,09546665485,"neha.chopra748@gmail,com",41,female,Lucknow,Salaried - IT/Tech,Salaried,-1869932,1,No,false,0,Y,387,"₹104,600",5811.13,Car Loan,572871,1,60.7,8.5,Married,0,Owned,13.4,,2,N,48,670306.0,02/22/2026,Verified
CUST00039,Sneha Reddy,+91-9266140258,,35,Male,Kanpur,Freelancer,Self-Employed,"1,841,662",3,Y,yes,1,NO,874,,21115.12,  Credit Card  ,-339288,5,83.8,4.2,Married,2,Owned,5.0,802397.0,1,NO,18,,,Pending
CUST00040,Sai Yadav,+91-9669601448,sai.yadav221 at hotmail.com,47,M,lucknow,Self Employed - Business,Self-Employed,1852115,1,yes,NO,N,0,353,"₹172,891",2881.52,Credit Card,-373353,0,47.1,6.5,Single,1,Owned,13.5,233167.0,1,No,24,,18 Sep 2025,Verified
CUST00041,Simran Verma,,simran.verma210@outlook.com,34,MALE,Jaipur,Salaried - IT/Tech,Salaried,,2,1,false,N,true,845,,16084.43,Car Loan,N/A,0,75.5,6.7,Married,0,Owned,5.8,,1,no,60,475593.0,02/08/2026,Verified
CUST00042,Swati Kapoor,99933810,swati.kapoor707@outlook.com,26,FEMALE,Hyderabad,Self Employed - Professional,Self-Employed,2127359,0,no,N,N,No,647,"₹47,136",2142.56,Credit Card,"287,640",1,55.4,3.1,Single,1,COMPANY PROVIDED,3.3,227103.0,0,false,18,,07/27/2026,Verified
CUST00043,Sunil Mishra,9630554118,,58,Female,Lucknow,Salaried - Healthcare,Salaried,933161,1,YES,No,false,false,357,,12315.7,Car Loan,1268344,1,10.4,12.5,Married,3,Rented,18.6,,0,NO,84,1559017.0,2026-04-13,Verified
CUST00044,Nisha Mishra,93021 20588,nisha.mishra330@rediffmail.com,51,  Male  ,Delhi,Business Owner,Self-Employed,"₹734,118",1,no,No,NO,Y,476,,302.47,Home Loan,5186137,1,62.9,5.6,Single,1,Rented,20.5,623165.0,0,false,360,6843600.0,2026-01-18,Verified
CUST00045,Rekha Pandey,9747145068,rekha.pandey895@yahoo.com,42,male,Chennai,Salaried - Healthcare,Salaried,1601206,0,N,NO,0,NO,386,49570.44,1376.96,Car Loan,568002,2,83.8,11.1,Single,2,Rented,9.1,,0,false,36,635223.0,01-05-2026,Verified
CUST00046,KRISHNA SINGH,91828 55381,,53,MALE,Lucknow,Self Employed - Business,Self-Employed,"₹1,880,077",2,1,YES,0,No,469,-813527.74,58109.12,Home Loan,,2,27.6,6.8,Married,2,Owned,16.2,756468.0,0,No,240,6011944.0,2026/06/14,PENDING
CUST00047,Neha Chauhan,94025500,neha.chauhan797@hotmail.com,53,Female,KOLKATA,Self Employed - Professional,Self-Employed,"880,485",1,No,Y,N,N,405,"375,827",8351.71,Credit Card,,0,20.2,6.8,Married,3,  Owned  ,27.3,,2,Yes,36,,22-09-2025,Verified
CUST00048,Kavya Rao,9514642708,kavya.rao84@outlook.com,35,Male,lucknow,Salaried - Government,Salaried,1706309,1,no,Y,false,false,442,"₹776,890",18497.39,HOME LOAN,,0,12.5,4.0,Single,2,Rented,7.5,366076.0,0,false,300,8725363.0,2026-07-10,Verified
CUST00049,Ayaan Saxena,9636687537,ayaan.saxena612@rediffmail.com,22,Male,Chennai,  Salaried - IT/Tech  ,Salaried,,1,Yes,false,No,No,387,"₹659,703",18848.66,Credit Card,"₹295,806",1,79.7,7.7,Married,3,Owned,0.6,,1,false,12,,2026-02-18,Verified
CUST00050,Mahesh Mishra,92113082, mahesh.mishra791@rediffmail.com ,42,  Male  ,Delhi,Salaried - Healthcare,Salaried,-1719970,1,N,1,No,No,790,,32597.0,Credit Card,,3,48.5,4.5,Married,0,Owned,19.6,,3,N,24,,13-09-2025,Verified
CUST00051,Aryan Iyer,9483298103,aryan.iyer883@gmail.com,62,FEMALE,Jaipur,Salaried - Government,Salaried,1843584,1,yes,N,No,No,647,,25048.48,Home Loan,4581529,5,54.3,12.1,Single,0,Rented,24.7,,0,false,240,5619813.0,06/30/2026,VERIFIED
CUST00052,Rohan Tiwari,95766 42996, rohan.tiwari360@hotmail.com ,23,female,indore,Salaried - IT/Tech,Salaried,"540,577",1,YES,0,false,N,463,,14715.89,Home Loan,,0,27.4,9.7,Married,3,  Owned  ,0.6,,0,false,120,2317806.0,2026-05-24,Verified
CUST00053,Ananya Mishra,+91-9399240862,ananya.mishra256@gmail.com,,M,chandigarh,Freelancer,Self-Employed,1923142,1,NO,1,No,NO,519,1149690.96,38323.03,Home Loan,,0,86.0,6.9,Single,1,Owned,0.8,,0,no,120,4093240.0,2026-01-21,Verified
CUST00054,Rekha Patel,,rekha.patel727 at yahoo.com,44,male,Hyderabad,Self Employed - Professional,Self-Employed,882491,1,1,No,no,false,778,"425,535",9053.93,Personal Loan,691674,4,11.2,6.1,Single,1,Owned,9.6,,0,NO,12,,2026/04/13,Verified
CUST00055,Divya Shah,+91-9237798236, divya.shah900@rediffmail.com ,61,male,Chennai,Salaried - Education,Salaried,2409163,3,0,Yes,YES,YES,468,234122.88,4107.42,Personal Loan,412831,5,54.3,4.4,Married,0,Company Provided,8.5,,1,0,24,,2026/06/25,Pending
CUST00056,Ishaan Patel,, ishaan.patel640@rediffmail.com ,42,Male,Mumbai,Salaried - Government,Salaried,"₹490,680",0,N,false,N,NO,885,"₹20,441",393.1,credit card,281115,4,56.8,9.7,Married,0,Rented,8.7,,1,false,36,,04/30/2026,verified
CUST00057,Diya Bansal,9254263081,diya.bansal321@outlook.com,,F,Chennai,Salaried - Healthcare,Salaried,2459983,0,false,false,0,No,553,-34655.66,2310.38,Car Loan,"₹1,105,620",4,44.7,14.4,Single,3,company provided,15.9,269507.0,3,no,48,1270882.0,,Pending
CUST00058,Sneha Kapoor,,sneha.kapoor221@rediffmail.com,43,Male,New Delhi,Salaried - IT/Tech,Salaried,,0,NO,0,No,No,308,201265.79,5160.66,Personal Loan,"₹975,321",0,39.7,6.2,Married,0,Rented,8.2,439762.0,0,No,60,,,Verified
CUST00059,Krishna Kumar,95229 50895,krishna.kumar383@outlook.com,56,female,Chennai,Self Employed - Professional,Self-Employed,2435414,3,YES,true,Y,NO,785,"₹758,874",36136.86,personal loan,"393,897",5,35.3,6.0,Single,3,Rented,15.4,,0,NO,48,,03-09-2025,Verified
CUST00060,Ramesh Kumar,9547256709,,65,Male,Chandigarh,Salaried - IT/Tech,Salaried,,1,false,0,true,No,689,,2022.19,Personal Loan,83104,1,71.5,3.0,Married,1,Owned,6.4,,1,NO,12,,2026-08-22,Verified
CUST00061,Dhruv Bhatt,9449019278-XX,dhruv.bhatt679@hotmail.com,54,FEMALE,Lucknow,Self Employed - Business,Self-Employed,2227968,0,NO,No,false,NO,570,"135,923",5663.46,Personal Loan,,1,26.4,14.6,Married,1,Owned,21.2,411602.0,3,NO,36,,2026-01-20,Verified
CUST00062,Ramesh Bhatt,9507693523-XX,RAMESH.BHATT918@HOTMAIL.COM,43,F,Surat,Salaried - Private,Salaried,,1,No,Yes,no,NO,790,"₹193,411",4204.59,Car Loan,"1,478,637",2,18.0,9.3,Married,0,Rented,11.8,,0,N,84,1692272.0,09 Aug 2026,Verified
CUST00063,Aarav Bhatt,9269587940,aarav.bhatt417@hotmail.com,51,M,Surat,Salaried - Healthcare,Salaried,"₹1,497,118",1,No,no,yes,0,847,"663,541",47395.75,personal loan,"488,184",4,21.7,13.8,Divorced,1,Rented,28.1,,2,N,12,,25-01-2026,Verified
CUST00064,Reyansh Khanna,,reyansh.khanna292@hotmail.com,62,F,Chennai,Freelancer,Self-Employed,,1,1,N,false,false,563,"₹975,722",81310.14,Car Loan,"918,710",1,76.9,2.8,Single,3,Rented,15.6,651942.0,0,N,48,1136596.0,08/29/2025,Verified
CUST00065,Rahul Kapoor,+91-9909340042, rahul.kapoor274@outlook.com ,40,male,Jaipur,Salaried - Healthcare,Salaried,,2,YES,YES,NO,no,814,"715,107",12545.73,Car Loan,"546,238",1,94.4,5.6,Married,4,Rented,8.8,,0,N,60,656289.0,08/01/2026,Verified
CUST00066,Anil Rao,, anil.rao773@rediffmail.com ,26,Female,Kochi,SALARIED - HEALTHCARE,Salaried,627586,1,0,true,N,0,507,N/A,10269.13,Personal Loan,-394056,4,47.0,10.3,Single,1,Rented,2.4,248958.0,0,false,60,,19-04-2026,Verified
CUST00067,Manish Yadav,91233 75849,manish.yadav406@outlook.com,21,Male,Bengaluru,Salaried - Private,Salaried,N/A,2,YES,YES,No,no,370,,29261.72,Credit Card,N/A,0,78.1,11.5,Divorced,2,Owned,0.3,,0,0,36,,06-03-2026,Verified
CUST00068,Mahesh Bhatia,9679069250,mahesh.bhatia137@outlook.com,28,MALE,Coimbatore,Salaried - Education,Salaried,,3,false,yes,Yes,Yes,605,"231,724",3995.24,Home Loan,5962182,0,26.8,7.0,Married,0,Rented,5.4,645148.0,1,Y,120,7215233.0,29-09-2025,Verified
CUST00069,Aditya Kapoor,,aditya.kapoor689@gmail.com,36,M,Nagpur,Business Owner,Self-Employed,N/A,2,yes,no,false,YES,596,,3107.62,CAR LOAN,972483,0,88.2,14.8,Married,1,Owned,8.5,,1,no,84,1104196.0,05/06/2026,Verified
CUST00070,Isha Mishra,9820848547-XX,isha.mishra391 at rediffmail.com,41,FEMALE,Indore,Self Employed - Business,Self-Employed,"₹1,557,823",1,true,No,false,no,607,801538.48,38168.5,Home Loan,"₹1,983,384",1,96.9,8.4,Married,0,Owned,13.0,,2,NO,180,2306446.0,07-03-2026,Verified
CUST00071,Simran Verma,91781 51583,simran.verma193@rediffmail.com,63,Male,Chandigarh,Self Employed - Professional,Self-Employed,"₹1,696,553",2,true,no,1,No,420,"₹760,272",12671.2,home loan,"3,535,019",2,71.9,6.1,Married,1,Owned,14.1,,0,N,300,4477105.0,04/23/2026,Verified
CUST00072,Ananya Khanna,09318106480,ananya.khanna380@outlook.com,47,Male,Ahmedabad,Self Employed - Business,Self-Employed,"₹368,031",1,true,No,NO,0,456,"₹43,323",1666.26,Home Loan,6279740,3,52.4,9.9,Single,1,rented,25.1,,0,0,240,7487437.0,01-06-2026,Verified
CUST00073,Seema Sethi,+91-9682115008,seema.sethi658 at gmail.com,54,Male,Bengaluru,Salaried - Private,Salaried,326775,2,YES,0,1,NO,309,"42,883",1045.93,CAR LOAN,426773,1,68.3,9.3,Married,1,Owned,16.7,547063.0,0,Y,24,490978.0,18-08-2026,Verified
CUST00074,Preeti Khanna,92924863,preeti.khanna110 at gmail.com,54,M,Ahmedabad,Self Employed - Professional,Self-Employed,"₹1,358,718",1,N,yes,0,0,715,"₹374,189",13858.86,PERSONAL LOAN,,2,85.5,9.9,SINGLE,2,Owned,11.6,,0,false,24,,2025/10/07,Verified
CUST00075,Saanvi Mishra,9942217648-XX,saanvi.mishra340@rediffmail.com,27,male,Ahmedabad,Self Employed - Professional,Self-Employed,"₹2,294,392",1,yes,No,NO,No,856,"₹775,748",55410.54,personal loan,"₹941,737",0,96.3,8.9,Single,2,Owned,0.7,330354.0,2,N,60,,02/11/2026,Verified
CUST00076,Vinod Singh,+91-9948790854,vinod.singh706@gmail.com,53,FEMALE,Delhi,Salaried - Government,Salaried,,2,YES,YES,NO,no,706,"1,240,188",38755.87,Credit Card,"₹352,463",0,99.3,7.5,Married,3,Owned,20.5,,0,No,18,,2026-08-26,Verified
CUST00077,Vikram Singh,9508021882,"vikram.singh729@yahoo,com",45,female,Kanpur,SALARIED - GOVERNMENT,Salaried,683864,1,YES,No,no,N,435,,918.45,Home Loan,,1,43.8,0.6,Married,0,Rented,8.0,,0,No,120,8216672.0,2026/06/08,verified
CUST00078,rahul agarwal,09659531734,rahul.agarwal174 at hotmail.com,,male,Jaipur,Salaried - IT/Tech,Salaried,-1425779,2,true,Yes,0,no,795,,19129.88,Car Loan,817136,2,52.1,9.3,Married,0,Owned,4.1,,0,No,60,912698.0,2026-07-25,pending
CUST00079,KRISHNA IYER,9444311586,krishna.iyer618@yahoo.com,51,female,Kolkata,Salaried - Education,Salaried,"1,638,560",1,yes,No,NO,0,548,320390.49,11047.95,Home Loan,"₹4,561,972",0,58.6,9.0,Married,2,Rented,28.6,,1,N,240,6194339.0,2025-09-30,Verified
CUST00080,Kiran Rathi,95393 12437,kiran.rathi690@hotmail.com,29,M,Ahmedabad,Salaried - IT/Tech,Salaried,"₹946,523",1,false,no,Y,N,790,330664.41,7188.36,Home Loan,"₹6,060,426",0,97.0,10.6,Single,2,Company Provided,1.1,648520.0,0,N,360,8459761.0,07-08-2026,Verified
CUST00081,Anil Mehta,9954946593,anil.mehta441@gmail.com,,male,Jaipur,Self Employed - Professional,Self-Employed,2441931,0,no,0,N,NO,683,95512.27,1736.59,Personal Loan,"411,724",10,50.9,4.6,Single,0,Rented,0.3,,0,N,24,,05/19/2026,Verified
CUST00082,Pooja Kumar,9570477095,pooja.kumar740@hotmail.com,41,Male,Surat,Salaried - Private,Salaried,"₹782,702",2,yes,N,YES,N,549,,5155.78,personal loan,"397,067",1,96.1,3.6,Married,0,rented,8.8,610580.0,0,No,48,,2025/08/28,Verified
CUST00083,Dhruv Nair,9907803348,dhruv.nair721@gmail.com,57,male,Coimbatore,Self Employed - Business,Self-Employed,,1,Y,NO,NO,no,840,"₹1,063,038",33219.92,Home Loan,6628026,0,15.9,5.4,Married,0,Rented,24.1,,1,no,240,7817527.0,2026-01-29,  Verified  
CUST00084,KAVYA TIWARI,92517 82582,kavya.tiwari524 at hotmail.com,47,F,Nagpur,Salaried - Education,Salaried,"₹1,079,107",1,yes,no,no,false,477,359286.03,8355.49,Car Loan,,0,85.0,9.4,Single,4,Rented,5.3,,1,false,60,705307.0,26 Mar 2026,Verified
CUST00085,Tanya Joshi,+91-9279587066, tanya.joshi85@rediffmail.com ,22,M,Surat,Salaried - Private,Salaried,,2,1,1,NO,N,807,"479,191",25220.56,CREDIT CARD,,3,83.2,5.6,Single,0,Rented,0.7,,0,NO,18,,01/25/2026,Verified
CUST00086,Aditya Kapoor,93821 95698,aditya.kapoor357@gmail.com,49,Male,Ahmedabad,Self Employed - Professional,Self-Employed,"1,770,652",0,NO,N,No,NO,511,"144,048",9603.19,Car Loan,N/A,0,56.2,5.0,single,1,Owned,24.1,,1,No,60,1747332.0,01/14/2026,Verified
CUST00087,Krishna Tiwari,92424 75723,,41,M,Nagpur,Business Owner,Self-Employed,"896,311",1,false,Y,0,No,395,-216647.75,3672.0,Car Loan,"1,073,998",1,51.4,8.8,Single,3,OWNED,19.5,,1,0,72,1213127.0,2026-04-02,Verified
CUST00088,Anjali Nair,9446673808,anjali.nair849 at outlook.com,42,Male,Chandigarh,Salaried - Healthcare,Salaried,,2,1,0,N,yes,461,133191.48,11099.29,Home Loan,"₹3,197,168",10,91.4,13.3,Married,3,Rented,2.2,,0,false,180,3718136.0,2026/07/12,Verified
CUST00089,Deepak Chauhan,09351410032,deepak.chauhan440@gmail.com,27,male,Pune,Business Owner,Self-Employed,"₹626,898",3,Yes,yes,0,yes,651,,7880.68,Personal Loan,"₹550,905",0,41.4,11.0,Married,1,Rented,1.1,,1,NO,24,,09/30/2025,Verified
CUST00090,Aarav Bansal,97979538,aarav.bansal169@hotmail.com,,F,Chennai,Salaried - Education,Salaried,2155492,2,no,yes,yes,NO,693,-454639.36,11657.42,Car Loan,,0,66.2,3.9,SINGLE,2,Owned,20.7,785303.0,2,0,72,683362.0,2026/03/14,Verified
CUST00091,Vihaan Rathi,99523 12670,vihaan.rathi978@yahoo.com,52,female,Hyderabad,Self Employed - Professional,Self-Employed,,2,NO,YES,N,YES,669,,67113.7,Home Loan,6267920,0,56.9,2.8,Married,4,Owned,17.7,311807.0,2,yes,300,8001957.0,13 Jul 2026,Verified
CUST00092,Sunil Malhotra,9554810443-XX,sunil.malhotra719@hotmail.com,26,male,  Jaipur  ,Salaried - Government,Salaried,,2,Y,NO,false,true,634,375065.44,7212.8,Credit Card,,2,74.3,12.7,MARRIED,0,Owned,2.4,,0,0,18,,2025/10/26,Verified
